日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-05-15,=2043.2500,=2248.3700,=5754130701098.5771,=4522176266603,=3180099234642.5317,=31.2166,=0.2731,=51.4320,=36.8762,=29.9606
2025-05-14,=2083.1400,=2292.1900,=5859838332677.2695,=4605808629923,=3242387263738.5054,=31.6026,=0.2891,=51.4606,=36.9285,=29.9606
2025-05-13,=2062.2600,=2269.2200,=5806100516740.6602,=4564773738965,=3210251198302.9160,=31.5641,=0.2879,=51.4675,=36.9324,=29.9606
2025-05-12,=2064.7100,=2271.9100,=5828773337730.8896,=4567007094982,=3214419704459.8506,=31.6336,=0.2891,=51.4847,=36.9364,=29.9606
2025-05-09,=2011.7700,=2213.6500,=5653330095493.1689,=4448571960540,=3131761736647.2290,=31.0716,=0.2664,=51.5316,=36.9488,=29.9606
2025-05-08,=2029.4500,=2233.0800,=5705333620692.9424,=4482861923185,=3159906281028.6787,=31.4370,=0.2813,=51.5316,=36.9556,=29.9606
2025-05-07,=1996.5100,=2196.8300,=5595799325175.5508,=4411593451561,=3108839609062.2588,=31.0111,=0.2632,=51.5614,=36.9646,=29.9606
2025-05-06,=1986.4100,=2185.7200,=5547373881494.3105,=4384350828224,=3093633756953.9600,=30.9554,=0.2607,=51.6185,=36.9677,=29.9606
2025-04-30,=1948.0300,=2143.4600,=5452327242680.8604,=4305625909701,=3034032585383.4292,=30.2560,=0.2198,=51.6569,=36.9851,=29.9606
2025-04-29,=1931.9400,=2125.1900,=5402943968383.3115,=4270553437473,=3007950497159.7891,=30.1424,=0.2128,=51.6717,=36.9858,=29.9606
2025-04-28,=1934.4600,=2127.9100,=5422126069542.9102,=4282530470779,=3000975024086.1602,=30.2390,=0.2181,=51.6770,=36.9875,=29.9606
2025-04-25,=1947.1900,=2141.9100,=5459304283946.5381,=4313607408916,=3019365813630.8628,=30.5305,=0.2308,=51.7206,=37.0044,=29.9606
2025-04-24,=1935.8600,=2129.4500,=5432301477538.8203,=4284440724670,=2998906837366.2813,=30.8386,=0.2506,=51.7206,=37.0070,=29.9606
2025-04-23,=1949.1600,=2144.0800,=5472930351072.3408,=4311528819400,=3019901612424.8516,=33.1719,=0.3305,=51.7578,=37.0305,=29.9606
2025-04-22,=1928.4300,=2121.2800,=5425293777732.6895,=4270288867014,=2988531129480.5371,=33.5231,=0.3399,=51.7603,=37.0413,=29.9606
2025-04-21,=1944.3200,=2130.2300,=5467397305799.7773,=4303937223976,=3009424872847.7280,=33.8465,=0.3506,=51.7873,=37.0543,=29.9606
2025-04-18,=1913.9700,=2096.9800,=5385443540504.8682,=4236641124719,=2963156110592.1709,=32.7166,=0.3204,=51.8182,=37.0585,=29.9606
2025-04-17,=1908.7800,=2091.2900,=5377331064844.0381,=4226100718957,=2955558413491.6772,=32.6435,=0.3185,=51.8182,=37.0605,=29.9606
2025-04-16,=1907.1100,=2089.4600,=5371061079246.5098,=4217037037087,=2952651491420.6777,=32.7302,=0.3202,=51.8469,=37.0826,=29.9606
2025-04-15,=1930.4000,=2114.4500,=5436171583491.9893,=4271135575396,=2988560431990.4028,=33.2591,=0.3309,=51.8470,=37.0926,=29.9606
2025-04-14,=1932.9100,=2117.2000,=5445095378382.0010,=4273624574544,=2992670757816.9150,=33.4591,=0.3362,=51.8496,=37.0995,=29.9606
2025-04-11,=1926.3700,=2110.0400,=5426711470893.0498,=4260352720482,=2982662986113.7949,=33.0259,=0.3266,=51.9504,=37.1129,=29.9606
2025-04-10,=1900.5300,=2081.7300,=5359881557343.3398,=4199017382818,=2943292269969.7422,=32.5946,=0.3160,=51.9504,=37.1155,=29.9606
2025-04-09,=1858.3600,=2035.5400,=5241258303684.1904,=4096145402450,=2878255494956.5171,=31.8078,=0.2922,=51.9627,=37.1192,=29.9606
2025-04-08,=1840.3100,=2015.7700,=5183328086430.3008,=4064527564976,=2849715264894.9941,=31.4452,=0.2786,=52.0119,=37.1226,=29.9606
2025-04-07,=1807.2100,=1979.5100,=5074504818018.8398,=3994325113904,=2798549306074.8057,=30.7715,=0.2486,=52.0235,=37.1268,=29.9606
2025-04-03,=2065.4000,=2262.3200,=5773449900642.9707,=4550349595317,=3196477331967.4277,=35.3107,=0.4082,=52.0255,=37.1386,=29.9606
