日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2019-04-17,=1417.0600,=1505.0600,=2621398806518.0996,=1826524132045,=1006287181029.0428,=24.3677,=0.1344,=36.3372,=32.6258,=27.6014
2019-04-16,=1393.0100,=1479.5200,=2556410091113.5005,=1788198860830,=982981003008.9078,=23.9979,=0.1301,=36.3372,=32.6261,=27.6387
2019-04-15,=1367.9500,=1452.9000,=2513326128307.2998,=1759448430172,=964938671912.9952,=22.9673,=0.1201,=36.3372,=32.6264,=27.6543
2019-04-12,=1387.2200,=1473.3600,=2546278695815.8003,=1720111259615,=978829294282.7966,=23.4332,=0.1227,=36.3372,=32.6280,=27.6626
2019-04-11,=1387.2600,=1473.4100,=2538270536927.9990,=1708107064072,=976713602173.4432,=23.1545,=0.1209,=36.3372,=32.6296,=27.6627
2019-04-10,=1414.5500,=1502.3900,=2566950068339.8999,=1729761279350,=989638602662.8008,=23.4121,=0.1216,=36.3606,=32.6301,=27.6627
2019-04-09,=1414.3700,=1502.2000,=2566242596902.7002,=1727493706035,=989338048526.2280,=23.4614,=0.1217,=36.3606,=32.6305,=27.7000
2019-04-08,=1403.8000,=1490.9700,=2546946884198,=1714226787147,=981789556997.2118,=23.3541,=0.1211,=36.3606,=32.6309,=27.7370
2019-04-04,=1416.6400,=1504.6100,=2581174150247.6011,=1732641535019,=992686608140.5902,=23.6837,=0.1250,=36.3606,=32.6314,=27.7402
2019-04-03,=1414.3700,=1502.2000,=2577682780513.2998,=1729952246437,=991317520910.0878,=23.6551,=0.1238,=36.3606,=32.6353,=27.7812
2019-04-02,=1410.4100,=1497.9900,=2571446820746.7002,=1723481828271,=988829155059.4180,=23.5189,=0.1220,=36.3673,=32.6393,=27.7812
2019-04-01,=1405.1700,=1492.4300,=2571561531331,=1721718758093,=987616906912.3256,=23.5313,=0.1221,=36.3673,=32.6419,=27.7822
2019-03-29,=1354.5700,=1438.6900,=2499053413068,=1668065733268,=952636555449.4856,=22.7365,=0.1184,=36.3673,=32.6445,=27.8237
2019-03-28,=1322.0400,=1404.1300,=2448947876468.9009,=1630851921566,=930770532617.5802,=21.9578,=0.1064,=36.3673,=32.6470,=27.8392
2019-03-27,=1333.5500,=1416.3600,=2462824783711.6997,=1638748285262,=935831603306.3602,=22.1084,=0.1096,=36.3673,=32.6495,=27.8647
2019-03-26,=1328.9000,=1411.4300,=2467488479034.5000,=1639584124559,=936691951284.0100,=21.9770,=0.1072,=36.3814,=32.6599,=27.8647
2019-03-25,=1366.4100,=1451.2600,=2518539246293.8999,=1675160619869,=956692274246.5602,=22.5091,=0.1155,=36.3814,=32.6704,=27.9032
2019-03-22,=1380.7400,=1466.4800,=2543816940395.7998,=1697370420894,=969331239334.0900,=22.7517,=0.1168,=36.3814,=32.6717,=27.9245
2019-03-21,=1381.3600,=1467.1400,=2535901373214.2002,=1694281179904,=968376380511.6796,=22.7476,=0.1163,=36.3814,=32.6731,=27.9327
2019-03-20,=1367.9900,=1452.9500,=2523040685067.3003,=1684169722119,=962792310047.0402,=22.5518,=0.1157,=36.3814,=32.6785,=27.9481
2019-03-19,=1368.1600,=1453.1200,=2531291878868.7012,=1687548408257,=965552695706.6600,=22.5076,=0.1151,=36.4262,=32.6839,=27.9481
